ID_מכירה,week,name
148536,"ראה תשפ""ה",כרם אברהם ירושליים
148538,"ראה תשפ""ה",גשר החיים ירושליים
148540,"ראה תשפ""ה",גבעת מרדכי ירושליים
148541,"ראה תשפ""ה",נוה צבי ירושליים
148546,"ראה תשפ""ה",שבטי ישראל אחיסמך
148551,"ראה תשפ""ה",שבט אפרים אחיסמך
148552,"ראה תשפ""ה",איילת השחר בני ברק
148561,"ראה תשפ""ה",רחובות
148562,"ראה תשפ""ה",קהילות יעקב מודיעין עי
148563,"ראה תשפ""ה",האצולה בית שמש
148569,"ראה תשפ""ה",בר יקר נווה יעקב
148570,"ראה תשפ""ה",מאור שרגא - אלעד
148577,"ראה תשפ""ה",בית שאן
148579,"ראה תשפ""ה",רבי טרפון מודיעין עילי
148581,"ראה תשפ""ה",סולם יעקב ירושליים
148584,"ראה תשפ""ה",בן קיסמא בית שמש
148587,"ראה תשפ""ה",גבעת רונן
148589,"ראה תשפ""ה",סלומון פתח תקווה
148590,"ראה תשפ""ה",בני דוד עלי
148594,"ראה תשפ""ה",אלחריזי בית ד' בני ברק
148598,"ראה תשפ""ה",שערי תשובה מודיעין עיל
148602,"ראה תשפ""ה",חבקוק בני ברק
148605,"ראה תשפ""ה",צוקרמן נווה יעקב ירושל
148606,"ראה תשפ""ה",נרקיסים - נוף הגליל
148610,"ראה תשפ""ה",גן הדסים - מודיעין עיל
148613,"ראה תשפ""ה",משולם ראט - ירושלים
148620,"ראה תשפ""ה",הגבעה הצרפתית ירושליים
148623,"ראה תשפ""ה",הרב שך ביתר עילית
148625,"ראה תשפ""ה",עליית הנוער עפולה
148626,"ראה תשפ""ה","לוחמי הגטאות צפת "
148627,"ראה תשפ""ה",הרב פניז'ל נווה יעקב י
148630,"ראה תשפ""ה",ברכיה בית שמש
148634,"ראה תשפ""ה",אהבת ישראל תל ציון (על
148635,"ראה תשפ""ה",מבוא חורון
148645,"ראה תשפ""ה",כנסת יחזקאל ביתר עילית
148649,"ראה תשפ""ה",הורדים רכסים
148650,"ראה תשפ""ה",אור הגנוז
148666,"ראה תשפ""ה",רב חנינא בית שמש
148667,"ראה תשפ""ה",קדושת לוי ביתר עילית
148668,"ראה תשפ""ה",מבוא מרגלית ביתר עילית
148672,"ראה תשפ""ה",נלסון גליק ירושליים
148683,"ראה תשפ""ה",באר מים חיים בני ברק
148686,"ראה תשפ""ה",מאיר בלבן נווה יעקב יר
148692,"ראה תשפ""ה",רועי קליין בית שמש
148706,"שופטים תשפ""ה",יהודה הנשיא מודיעין עי
148707,"שופטים תשפ""ה",רבי עקיבא מודיעין עילי
148708,"שופטים תשפ""ה",שדרות יחזקאל מודיעין ע
148709,"שופטים תשפ""ה",קנה בושם בית שמש
148710,"שופטים תשפ""ה",מרומי שדה מודיעין עילי
148711,"שופטים תשפ""ה",נאות הפיסגה מודיעין עי
148712,"שופטים תשפ""ה",נהר הירדן בית שמש
148713,"שופטים תשפ""ה",כולל ברסלב בני ברק
148715,"שופטים תשפ""ה",קצות החושן מודיעין עיל
148716,"שופטים תשפ""ה",מסילת יוסף מודיעין עיל
148718,"שופטים תשפ""ה",שכונת אור החיים בני בר
148719,"שופטים תשפ""ה",שטרן ירושליים
148720,"שופטים תשפ""ה",זנגוויל ירושליים
148721,"שופטים תשפ""ה",נווה שאנן חיפה
148722,"שופטים תשפ""ה",בעלזא חיפה
148723,"שופטים תשפ""ה",גור חיפה
148724,"שופטים תשפ""ה",בית תפילה מודיעין עילי
148725,"שופטים תשפ""ה",ישעיהו בני ברק
148726,"שופטים תשפ""ה",אולסוונגר ירושליים
148727,"שופטים תשפ""ה",דולב בית שמש
148728,"שופטים תשפ""ה",שאץ בני ברק
148729,"שופטים תשפ""ה",אביי ורבא מודיעין עילי
148731,"שופטים תשפ""ה",נאות יוסף בני ברק
148732,"שופטים תשפ""ה",נפש החיים אשדוד
148735,"שופטים תשפ""ה",גבעת ירושלים בית שמש
148737,"שופטים תשפ""ה",הרים לוין אשדוד
148738,"שופטים תשפ""ה",החרובים רכסים
148739,"שופטים תשפ""ה",התמר ביתר
148740,"שופטים תשפ""ה",קרלין מודיעין עילית
148741,"שופטים תשפ""ה",רשבי מודיעין עילית
148742,"שופטים תשפ""ה",גרין פארק מודיעין עילי
148743,"שופטים תשפ""ה",הצבעוני אשדוד
148744,"שופטים תשפ""ה",סנהדריה המורחבת ירושלי
148745,"שופטים תשפ""ה",חזון איש זכרון יעקב
148747,"שופטים תשפ""ה",חפץ חיים זכרון יעקב
148748,"שופטים תשפ""ה","חידושי הרי""ם בני ברק"
148751,"שופטים תשפ""ה",טלזסטון
148752,"שופטים תשפ""ה",בני הישיבות בני ברק
148753,"שופטים תשפ""ה",נחל שורק בית שמש
148756,"שופטים תשפ""ה",צאלון אופקים
148757,"שופטים תשפ""ה",ינאי אשדוד
148758,"שופטים תשפ""ה",בית וגן ירושליים
148759,"שופטים תשפ""ה",רשבם מודיעין עילית
148760,"שופטים תשפ""ה",רוממה ירושליים
148761,"שופטים תשפ""ה",חזון דוד מודיעין עילית
148762,"שופטים תשפ""ה",תפרח
148764,"שופטים תשפ""ה",לב שמחה בית שמש
148766,"שופטים תשפ""ה",הגבעה תפרח
148767,"שופטים תשפ""ה","הרב בנדר ביתר עילית "
148768,"שופטים תשפ""ה",עפולה עילית
148769,"שופטים תשפ""ה",קרית אתא
148770,"שופטים תשפ""ה",הפסגה ירושליים
148771,"שופטים תשפ""ה",בר אילן בית שמש
148772,"שופטים תשפ""ה",קרית גת
148773,"שופטים תשפ""ה",אלומה
148774,"שופטים תשפ""ה",בית יוסף בני ברק
148776,"שופטים תשפ""ה",גני יצהר- אלעד
148777,"שופטים תשפ""ה",מבצע חורב אשדוד
